Disease,Symptoms,Specialist
Influenza,"cough, fever, fatigue, sore throat",General Physician
Meningitis,"headache, vomiting, fever",Neurologist
Appendicitis,"fever, vomiting, nausea",Surgeon
Migraine,"severe headache, nausea, sensitivity to light and sound",Neurologist
Epilepsy,"jerking movements, seizures, unconsciousness",Neurologist
Diabetes,"fatigue, blurred vision, increased thirst, frequent urination",Endocrinologist
Gastroenteritis,"dehydration, vomiting, stomach pain, diarrhea",Gastroenterologist
Osteoporosis,"loss of height, weak bones, back pain",Orthopedist
Skin Allergy,"rashes, redness, itching",Dermatologist
Pneumonia,"fever, difficulty breathing, chest pain, cough with phlegm",Pulmonologist
Lung Cancer,"weight loss, chest pain, shortness of breath, persistent cough",Oncologist
Stroke,"trouble speaking, vision problems, confusion",Neurologist
Chickenpox,"body aches, fever, itchy rash, fatigue",General Physician
COVID-19,"cough, difficulty breathing, fever",Infectious Disease Specialist
Typhoid,"high fever, weakness, constipation, abdominal pain",General Physician
Stroke,"trouble speaking, sudden numbness, vision problems, confusion",Neurologist
Heart Attack,"shortness of breath, dizziness, nausea, chest pain",Cardiologist
Sinusitis,"nasal congestion, cough, headache",ENT Specialist
Depression,"sleep disturbances, persistent sadness, fatigue",Psychiatrist
Meningitis,"fever, vomiting, headache, stiff neck",Neurologist
Glaucoma,"eye pain, halos around lights, nausea",Ophthalmologist
Chickenpox,"fever, body aches, fatigue, itchy rash",General Physician
Sinusitis,"facial pain, nasal congestion, headache",ENT Specialist
Chickenpox,"fatigue, body aches, itchy rash, fever",General Physician
Ulcer,"burning stomach pain, loss of appetite, bloating, nausea",Gastroenterologist
Anemia,"shortness of breath, pale skin, fatigue, dizziness",Hematologist
Epilepsy,"unconsciousness, jerking movements, confusion",Neurologist
Tuberculosis,"persistent cough, night sweats, fever",Pulmonologist
Heart Attack,"nausea, shortness of breath, dizziness, chest pain",Cardiologist
Asthma,"shortness of breath, wheezing, chest tightness",Pulmonologist
Gastroenteritis,"dehydration, stomach pain, vomiting",Gastroenterologist
Cervical Cancer,"abnormal bleeding, weight loss, fatigue, pelvic pain",Oncologist
Lung Cancer,"chest pain, persistent cough, shortness of breath, weight loss",Oncologist
Thyroid Disorder,"hair thinning, weight changes, fatigue, mood swings",Endocrinologist
Acne,"pimples, oily skin, inflammation, blackheads",Dermatologist
Gastroenteritis,"vomiting, diarrhea, dehydration",Gastroenterologist
Meningitis,"fever, stiff neck, headache, vomiting",Neurologist
Stroke,"trouble speaking, sudden numbness, vision problems, confusion",Neurologist
Tuberculosis,"persistent cough, night sweats, fever",Pulmonologist
Sinusitis,"nasal congestion, facial pain, headache",ENT Specialist
Diabetes,"fatigue, frequent urination, increased thirst, blurred vision",Endocrinologist
COVID-19,"cough, difficulty breathing, fever",Infectious Disease Specialist
Stroke,"vision problems, trouble speaking, confusion, sudden numbness",Neurologist
Leukemia,"weight loss, bruising, frequent infections",Hematologist
Skin Allergy,"rashes, itching, redness",Dermatologist
Epilepsy,"confusion, seizures, jerking movements",Neurologist
Chickenpox,"body aches, fatigue, fever, itchy rash",General Physician
Heart Attack,"chest pain, dizziness, nausea",Cardiologist
Arthritis,"swelling, joint pain, reduced range of motion",Rheumatologist
Alzheimer’s Disease,"confusion, difficulty reasoning, mood changes",Neurologist
Skin Allergy,"swelling, rashes, redness",Dermatologist
Pneumonia,"cough with phlegm, difficulty breathing, chest pain",Pulmonologist
COVID-19,"difficulty breathing, cough, fever, loss of taste or smell",Infectious Disease Specialist
COVID-19,"difficulty breathing, fever, loss of taste or smell",Infectious Disease Specialist
Migraine,"severe headache, nausea, sensitivity to light and sound",Neurologist
Skin Allergy,"rashes, swelling, itching",Dermatologist
Alzheimer’s Disease,"mood changes, difficulty reasoning, memory loss, confusion",Neurologist
Leukemia,"frequent infections, bruising, fatigue, weight loss",Hematologist
Hepatitis B,"abdominal pain, nausea, fatigue",Hepatologist
HIV/AIDS,"recurrent infections, fatigue, weight loss",Infectious Disease Specialist
Thyroid Disorder,"fatigue, hair thinning, weight changes, mood swings",Endocrinologist
Diabetes,"fatigue, blurred vision, increased thirst, frequent urination",Endocrinologist
Acne,"pimples, blackheads, inflammation",Dermatologist
Stroke,"trouble speaking, vision problems, confusion",Neurologist
Parkinson's Disease,"tremors, balance issues, slow movement",Neurologist
Ulcer,"bloating, burning stomach pain, nausea",Gastroenterologist
Psoriasis,"scaling, itching, joint pain, red patches of skin",Dermatologist
Ulcer,"burning stomach pain, bloating, nausea",Gastroenterologist
Malaria,"chills, muscle aches, fever",Infectious Disease Specialist
Gastroenteritis,"diarrhea, dehydration, stomach pain, vomiting",Gastroenterologist
Chickenpox,"fatigue, body aches, fever, itchy rash",General Physician
Chronic Kidney Disease,"high blood pressure, fatigue, swelling in legs, frequent urination",Nephrologist
Hepatitis B,"jaundice, abdominal pain, fatigue",Hepatologist
Gastroenteritis,"stomach pain, dehydration, diarrhea",Gastroenterologist
Glaucoma,"eye pain, halos around lights, nausea",Ophthalmologist
Typhoid,"high fever, weakness, constipation",General Physician
Gallstones,"vomiting, bloating, abdominal pain, nausea",Gastroenterologist
HIV/AIDS,"night sweats, recurrent infections, fatigue",Infectious Disease Specialist
Acne,"blackheads, pimples, oily skin",Dermatologist
Gastroenteritis,"vomiting, dehydration, stomach pain",Gastroenterologist
Anemia,"pale skin, shortness of breath, dizziness",Hematologist
Acne,"inflammation, pimples, blackheads, oily skin",Dermatologist
Acne,"oily skin, pimples, blackheads",Dermatologist
Cervical Cancer,"weight loss, pelvic pain, abnormal bleeding, fatigue",Oncologist
Gastroenteritis,"stomach pain, vomiting, diarrhea, dehydration",Gastroenterologist
Sinusitis,"nasal congestion, headache, cough, facial pain",ENT Specialist
Arthritis,"stiffness, swelling, joint pain",Rheumatologist
Epilepsy,"unconsciousness, confusion, jerking movements",Neurologist
Tuberculosis,"persistent cough, night sweats, weight loss, fever",Pulmonologist
Heart Attack,"chest pain, nausea, dizziness, shortness of breath",Cardiologist
Tuberculosis,"fever, night sweats, weight loss, persistent cough",Pulmonologist
Chickenpox,"body aches, itchy rash, fatigue",General Physician
Typhoid,"high fever, weakness, constipation, abdominal pain",General Physician
Tuberculosis,"weight loss, persistent cough, night sweats, fever",Pulmonologist
Tuberculosis,"fever, weight loss, persistent cough, night sweats",Pulmonologist
Anemia,"shortness of breath, fatigue, pale skin",Hematologist
Chronic Kidney Disease,"fatigue, swelling in legs, frequent urination",Nephrologist
Appendicitis,"fever, nausea, vomiting, abdominal pain",Surgeon
Gallstones,"bloating, abdominal pain, nausea, vomiting",Gastroenterologist
Ulcer,"burning stomach pain, loss of appetite, bloating",Gastroenterologist
Heart Attack,"nausea, chest pain, dizziness",Cardiologist
Tuberculosis,"night sweats, fever, persistent cough",Pulmonologist
Chronic Kidney Disease,"fatigue, frequent urination, swelling in legs, high blood pressure",Nephrologist
Anemia,"dizziness, pale skin, fatigue",Hematologist
COVID-19,"fever, loss of taste or smell, difficulty breathing, cough",Infectious Disease Specialist
Diabetes,"frequent urination, fatigue, blurred vision, increased thirst",Endocrinologist
Leukemia,"bruising, frequent infections, fatigue, weight loss",Hematologist
Acne,"blackheads, inflammation, pimples, oily skin",Dermatologist
Chickenpox,"body aches, fatigue, fever",General Physician
Alzheimer’s Disease,"difficulty reasoning, confusion, mood changes, memory loss",Neurologist
Heart Attack,"chest pain, shortness of breath, nausea",Cardiologist
Prostate Cancer,"urinary difficulties, erectile dysfunction, pelvic pain",Oncologist
Hepatitis B,"jaundice, fatigue, nausea, abdominal pain",Hepatologist
Heart Attack,"chest pain, shortness of breath, nausea",Cardiologist
Sinusitis,"headache, cough, nasal congestion, facial pain",ENT Specialist
Arthritis,"reduced range of motion, stiffness, joint pain",Rheumatologist
Tuberculosis,"night sweats, weight loss, persistent cough",Pulmonologist
Sinusitis,"cough, headache, nasal congestion",ENT Specialist
HIV/AIDS,"weight loss, recurrent infections, fatigue",Infectious Disease Specialist
Psoriasis,"red patches of skin, joint pain, itching",Dermatologist
Parkinson's Disease,"tremors, balance issues, slow movement, stiffness",Neurologist
Leukemia,"bruising, fatigue, weight loss",Hematologist
Ulcer,"burning stomach pain, nausea, loss of appetite, bloating",Gastroenterologist
Leukemia,"weight loss, frequent infections, fatigue, bruising",Hematologist
HIV/AIDS,"weight loss, recurrent infections, fatigue, night sweats",Infectious Disease Specialist
Thyroid Disorder,"mood swings, weight changes, fatigue, hair thinning",Endocrinologist
Anemia,"shortness of breath, fatigue, dizziness",Hematologist
Leukemia,"weight loss, bruising, fatigue",Hematologist
Pneumonia,"chest pain, fever, difficulty breathing",Pulmonologist
Stroke,"trouble speaking, vision problems, sudden numbness, confusion",Neurologist
Tonsillitis,"swollen tonsils, sore throat, difficulty swallowing, fever",ENT Specialist
